"","Longitude","Latitude","n","cluster","n_date"
"1",-73.907585,40.806747,1,1,1
"2",-73.914093,40.800343,1,2,1
"3",-73.89509225,40.82106,4,3,2
"4",-73.8857575,40.8319605,2,4,1
"5",-73.870708,40.84756644,9,5,5
"6",-73.874268,40.841431,2,6,1
"7",-73.86869,40.850124,1,7,1
"8",-73.868851,40.849087,1,8,1
"9",-73.889239,40.80665467,3,9,2
"10",-73.889137,0.00068,1,10,1
"11",-73.8820455,0.00068,2,11,1
"12",-73.88207825,40.80860825,4,12,1
"13",-73.873497,40.8311,1,13,1
"14",-73.871414,40.84523,1,14,1
"15",-73.87049811,40.84695296,27,15,3
"16",-73.890541,40.820576,1,16,1
"17",-73.851753,40.849869,1,17,1
"18",-73.855125,40.851223,1,18,1
"19",-73.85762,40.850166,1,19,1
"20",-73.866646,40.847561,1,20,1
"21",-73.87043642,40.84562656,262,21,4
"22",-73.88977833,40.80885067,3,22,2
"23",-73.882637,40.810555,1,23,1
"24",-73.8696975,40.84739675,4,24,2
"25",-73.897896,40.866772,1,25,1
"26",-73.868729,3.012641,1,26,1
"27",-73.89861992,40.81887753,119,27,3
"28",-73.898941,40.823124,1,28,1
"29",-73.8735442,40.8251008,5,29,2
"30",-73.872437,40.856995,1,30,1
"31",-73.874012,40.8355105,2,31,1
"32",-73.87809,40.839455,1,32,1
"33",-73.88562,40.830286,2,33,1
"34",-73.88279967,40.80712133,3,34,1
"35",-73.8834,40.809856,1,35,1
"36",-73.891193,40.813944,2,36,1
"37",-73.898895,40.824318,1,37,1
"38",-73.89003,40.812998,6,38,1
"39",-73.893867,40.825802,1,39,1
"40",-73.8929845,40.821046,4,40,1
"41",-73.89184122,40.82121156,9,41,1
"42",-73.892311,40.820175,1,42,1
"43",-73.887543,40.825285,2,43,1
"44",-73.88873714,40.82520343,7,44,1
"45",-73.88969917,40.82515017,6,45,1
"46",-73.8918685,40.8246785,2,46,1
"47",-73.891945,40.8241235,4,47,1
"48",-73.89184586,40.82333443,7,48,1
"49",-73.89172883,40.82232883,6,49,1
"50",-73.89168525,40.8218305,4,50,1
"51",-73.89359075,40.821044,4,51,1
"52",-73.89590022,40.82102122,9,52,1
"53",-73.89747,40.8210328,5,53,1
"54",-73.8729325,40.826338,2,54,1
"55",-73.884112,40.82302233,3,55,1
"56",-73.887062,40.822552,1,56,1
"57",-73.89072667,40.81236533,3,57,1
"58",-73.89023775,40.81059275,4,58,1
"59",-73.886261,40.8148995,2,59,1
"60",-73.885895,0.00068,1,60,1
"61",-73.887619,0.00068,1,61,1
"62",-73.889015,40.811775,2,62,1
"63",-73.890335,40.811842,2,63,2
"64",-73.882431,40.816708,1,64,1
"65",-73.88502767,40.82237133,3,65,1
"66",-73.88323229,40.822732,7,66,1
"67",-73.822151,40.855835,1,67,1
"68",-73.801659,40.864708,1,68,1
"69",-73.834755,40.8564,1,69,1
"70",-73.872467,40.824421,1,70,1
"71",-73.873047,40.829269,1,71,1
"72",-73.8739435,40.833422,2,72,1
"73",-73.87336,40.837505,1,73,1
"74",-73.87034888,0.000667,16,74,1
"75",-73.870129,40.84632778,9,75,1
"76",-73.86880094,40.84836583,80,76,1
"77",-73.87597517,40.84205533,6,77,1
"78",-73.876663,40.842308,1,78,1
"79",-73.883385,40.845482,1,79,1
"80",-73.886848,40.847202,1,80,1
"81",-73.888634,40.848057,1,81,1
"82",-73.890053,40.846737,1,82,1
"83",-73.89073433,40.84589367,3,83,1
"84",-73.89389,40.842495,1,84,1
"85",-73.89775067,40.83682767,3,85,1
"86",-73.897209,40.834583,1,86,1
"87",-73.896889,40.831226,1,87,1
"88",-73.897682,40.829258,1,88,1
"89",-73.89835,40.8263895,2,89,1
"90",-73.897697,40.8249515,2,90,1
"91",-73.896935,40.823284,1,91,1
"92",-73.89855967,0.000682,3,92,1
"93",-73.898369,40.820663,1,93,1
